timestamp,stage,source_path,count,critical,high,medium,low
2026-04-27T18:35:56Z,design,docs/plans/2026-04-27-v0.6.5-bundle-design.md,1,0,0,0,1
2026-04-27T18:40:12Z,prd,tasks/prd-v0.6.5-bundle.md,4,0,0,0,4
2026-04-27T19:04:17Z,plan,quantum.json,0,0,0,0,0
2026-04-27T22:18:24Z,design,docs/plans/2026-04-27-v0.6.6-bundle-design.md,0,0,0,0,0
2026-04-27T22:22:59Z,prd,tasks/prd-v0.6.6-bundle.md,9,0,2,4,3
2026-04-28T00:51:00Z,plan,quantum.json,1,0,0,0,1
2026-04-28T03:07:20Z,design,docs/plans/2026-04-28-v0.6.7-bundle-design.md,3,0,0,1,2
2026-04-28T03:12:19Z,prd,tasks/prd-v0.6.7-bundle.md,5,0,0,2,3
2026-04-28T03:22:01Z,plan,quantum.json,2,0,0,0,2
2026-04-28T06:18:53Z,design,docs/plans/2026-04-28-v0.6.8-bundle-design.md,3,0,0,1,2
2026-04-28T06:21:44Z,prd,tasks/prd-v0.6.8-bundle.md,3,0,0,1,2
2026-04-28T06:30:03Z,plan,quantum.json,2,0,0,0,2
2026-04-28T07:29:29Z,design,docs/plans/2026-04-28-v0.6.9-bundle-design.md,3,0,0,1,2
2026-04-28T07:32:12Z,prd,tasks/prd-v0.6.9-bundle.md,3,0,0,1,2
2026-04-28T07:35:01Z,plan,quantum.json,2,0,0,0,2
2026-04-28T11:13:09Z,design,docs/plans/2026-04-28-v0.7.0-bundle-design.md,3,0,1,1,1
2026-04-28T11:15:35Z,prd,tasks/prd-v0.7.0-bundle.md,3,0,0,1,2
2026-04-28T11:21:11Z,plan,quantum.json,2,0,0,0,2
2026-04-28T11:53:13Z,design,docs/plans/2026-04-28-v0.7.1-bundle-design.md,2,0,0,0,2
2026-04-28T11:53:16Z,prd,tasks/prd-v0.7.1-bundle.md,1,0,0,0,1
2026-04-28T11:55:36Z,plan,quantum.json,1,0,0,0,1
2026-04-28T17:51:03Z,design,docs/plans/2026-04-28-v0.7.4-bundle-design.md,2,0,0,0,2
2026-04-28T17:55:14Z,prd,tasks/prd-v0.7.4-bundle.md,1,0,0,0,1
2026-04-28T18:01:36Z,plan,quantum.json,2,0,0,0,2
2026-04-28T18:36:43Z,design,docs/plans/2026-04-28-v0.7.5-bundle-design.md,1,0,0,0,1
2026-04-28T18:36:55Z,prd,tasks/prd-v0.7.5-bundle.md,1,0,0,0,1
2026-04-28T18:37:37Z,plan,quantum.json,1,0,0,0,1
2026-04-28T18:52:35Z,design,docs/plans/2026-04-28-v0.7.6-bundle-design.md,1,0,0,0,1
2026-04-28T18:52:39Z,prd,tasks/prd-v0.7.6-bundle.md,1,0,0,0,1
2026-04-28T18:52:42Z,plan,quantum.json,1,0,0,0,1
2026-04-28T19:18:01Z,design,docs/plans/2026-04-28-v0.8.0-bundle-design.md,1,0,0,0,1
2026-04-28T19:18:04Z,prd,tasks/prd-v0.8.0-bundle.md,1,0,0,0,1
2026-04-28T19:18:05Z,plan,quantum.json,1,0,0,0,1
2026-04-28T19:27:43Z,design,docs/plans/2026-04-28-v0.7.8-bundle-design.md,1,0,0,0,1
2026-04-28T19:27:48Z,prd,tasks/prd-v0.7.8-bundle.md,1,0,0,0,1
2026-04-28T19:27:51Z,plan,quantum.json,1,0,0,0,1
2026-04-29T06:17:25Z,design,docs/plans/2026-04-29-v0.8.1-bundle-design.md,1,0,0,0,1
2026-04-29T06:18:10Z,prd,tasks/prd-v0.8.1-bundle.md,1,0,0,0,1
2026-04-29T06:18:18Z,plan,quantum.json,1,0,0,0,1
2026-04-29T14:21:25Z,design,docs/plans/2026-04-29-v0.8.2-bundle-design.md,1,0,0,0,1
2026-04-29T14:21:36Z,prd,tasks/prd-v0.8.2-bundle.md,1,0,0,0,1
2026-04-29T14:21:43Z,plan,quantum.json,1,0,0,0,1
2026-04-29T16:23:30Z,design,docs/plans/2026-04-29-v0.8.3-bundle-design.md,1,0,0,0,1
2026-04-29T16:23:46Z,prd,tasks/prd-v0.8.3-bundle.md,1,0,0,0,1
2026-04-29T16:24:07Z,plan,quantum.json,1,0,0,0,1
2026-04-29T17:55:43Z,design,docs/plans/2026-04-29-v0.8.4-bundle-design.md,1,0,0,0,1
2026-04-29T17:56:14Z,prd,tasks/prd-v0.8.4-bundle.md,1,0,0,0,1
2026-04-29T17:56:55Z,plan,quantum.json,1,0,0,0,1
2026-04-29T23:53:49Z,design,docs/plans/2026-04-29-v0.9.0-bundle-design.md,1,0,0,0,1
2026-04-29T23:54:52Z,prd,tasks/prd-v0.9.0-bundle.md,1,0,0,0,1
2026-04-29T23:55:21Z,plan,quantum.json,1,0,0,0,1
2026-04-30T02:13:04Z,design,docs/plans/2026-04-29-v0.9.1-bundle-design.md,1,0,0,0,1
2026-04-30T02:13:21Z,prd,tasks/prd-v0.9.1-bundle.md,1,0,0,0,1
2026-04-30T02:13:38Z,plan,quantum.json,1,0,0,0,1
2026-04-30T05:38:22Z,design,docs/plans/2026-04-30-v0.9.2-bundle-design.md,1,0,0,0,1
2026-04-30T05:38:46Z,prd,tasks/prd-v0.9.2-bundle.md,1,0,0,0,1
2026-04-30T05:39:10Z,plan,quantum.json,1,0,0,0,1
2026-04-30T11:29:51Z,design,docs/plans/2026-04-30-v0.9.3-bundle-design.md,1,0,0,0,1
2026-04-30T11:30:10Z,prd,tasks/prd-v0.9.3-bundle.md,1,0,0,0,1
2026-04-30T11:30:29Z,plan,quantum.json,1,0,0,0,1
2026-04-30T21:38:48Z,design,docs/plans/2026-04-30-v0.9.4-bundle-design.md,1,0,0,0,1
2026-04-30T21:39:11Z,prd,tasks/prd-v0.9.4-bundle.md,1,0,0,0,1
2026-04-30T21:39:39Z,plan,quantum.json,1,0,0,0,1
2026-05-01T13:36:38Z,design,docs/plans/2026-05-01-v0.9.5-bundle-design.md,1,0,0,0,1
2026-05-01T13:36:41Z,prd,tasks/prd-v0.9.5-bundle.md,1,0,0,0,1
2026-05-01T13:36:45Z,plan,quantum.json,1,0,0,0,1
